isapre,mujer,ingresos,ocupado
1,0,422.5,1
0,0,400,1
1,0,593.5,1
0,0,1502.083,1
0,1,410,1
0,1,527.5,1
NA,1,368.992,1
0,0,1400,1
0,1,357.323,0
NA,0,433.573,1
0,1,307.16,1
0,0,138.817,1
0,1,435,1
0,1,1299.667,1
0,1,377.473,1
0,0,347.215,1
0,1,280.667,1
0,0,721.111,1
0,0,267.968,1
0,1,355.13,1
1,1,722.5,0
0,0,600,1
1,1,655.5,1
0,0,151,0
0,0,280,0
0,1,228.509,1
0,0,820,1
0,0,500,1
0,0,363.542,1
0,1,635,1
1,0,1296.126,1
1,0,762.667,1
0,0,670,1
0,0,312,1
0,0,243.75,1
1,0,145.833,0
1,0,446.667,1
0,0,677.323,1
0,0,311.667,1
0,1,502.178,1
0,0,400,1
0,1,232,1
0,1,636,0
1,0,483.318,1
0,0,215,0
0,1,178.667,1
1,1,900,1
0,0,677.454,1
0,0,230.921,1
0,0,1200,1
NA,0,1850,1
1,0,966.667,1
0,1,70,0
0,1,360.132,0
0,0,573.5,0
0,0,219.583,0
0,1,276,1
0,1,645.07,0
0,0,382.834,0
0,0,363.315,1
0,0,202.841,1
NA,1,105,1
0,0,633.333,1
0,0,450,0
0,1,381.25,1
1,1,296.702,0
0,0,316.111,1
0,0,367.667,1
0,1,132,0
0,1,252.674,1
0,0,320,1
0,0,502.178,1
0,1,140,1
0,1,65,0
1,0,614.833,1
1,0,311.849,1
0,0,133.952,0
0,0,500,0
0,1,675,1
0,1,187.368,1
1,0,450,1
1,0,72.188,1
0,1,462.357,1
0,0,1170.892,1
0,0,280,1
1,0,200,1
0,1,232,0
NA,1,516.5,0
0,0,392.734,1
0,0,406.311,1
0,1,918.889,1
1,1,145,1
0,1,143.351,1
0,1,168.646,1
1,0,1800,1
0,0,24.519,0
0,0,680,1
NA,0,55.546,1
0,1,106.431,1
1,0,699.079,1
0,1,765.167,1
0,0,345,1
0,0,377.917,1
NA,0,410.143,1
1,1,176.401,1
0,0,250,1
0,1,548,1
1,0,250,1
0,0,615,1
0,0,2635.139,1
NA,1,478.833,1
NA,0,183.75,1
NA,0,340.003,1
NA,0,290.625,1
0,1,402.399,0
0,1,501.5,1
0,1,541.667,1
NA,0,349.333,0
0,0,450,0
0,0,170.218,1
1,0,458.333,1
0,0,359.932,0
0,0,459.584,1
0,1,362.5,1
0,1,340,1
0,0,3043,0
0,0,804.929,0
0,1,231.2,1
0,1,225,0
0,1,168.353,0
0,0,152.684,1
0,1,654,0
0,1,165.691,1
0,1,269.559,1
0,0,163.333,1
0,0,355.754,1
0,1,260.5,0
0,1,270.351,0
0,1,354,1
0,0,166.36,1
0,0,199.747,1
0,0,435.614,1
0,1,731.111,0
0,0,77.5,0
0,0,345.789,0
0,0,400,1
0,0,120.417,1
0,1,202.5,1
0,0,251.222,1
0,1,232.204,0
0,1,540,0
0,1,491.233,0
0,0,857.368,1
0,0,400,1
0,0,694.921,1
0,0,150,1
NA,0,290,1
0,0,421.45,1
0,0,360,1
1,0,1006.333,1
0,0,404.133,0
1,0,1855.284,1
0,0,338.158,0
0,1,240,0
0,0,301.596,0
1,0,1379.167,1
0,1,225,1
0,1,244.467,1
0,1,716,1
0,0,122,1
NA,0,146.206,1
0,0,170,1
1,0,212.5,1
0,0,150.664,1
0,1,238.716,0
1,0,269.829,1
0,1,230.528,0
0,0,125,1
0,1,318.126,0
0,1,169.539,0
0,0,88.667,1
NA,0,177.376,0
0,0,205.474,1
NA,1,155,1
0,1,73.361,0
0,1,96.333,1
0,0,146.46,1
0,0,458.43,1
0,0,186.217,1
0,0,67.5,1
0,0,325,1
0,0,136.667,1
NA,0,205.465,0
0,0,862.278,1
0,0,107.895,1
0,1,97.084,0
0,0,51.6,1
0,1,265,0
0,1,315,1
0,0,600,1
0,0,150,1
0,1,344.033,0
0,1,496,0
NA,1,904.646,0
0,1,290,1
0,0,431.823,0
0,0,287.083,1
0,1,350,1
0,1,203.333,1
0,0,225,1
0,1,146.667,1
0,0,480,1
0,0,70,1
0,0,272.5,1
0,1,338.186,1
NA,0,286.875,0
0,0,1254.417,1
0,1,250,1
1,0,345.614,1
1,0,355.6,1
0,1,180,1
0,0,487.083,1
0,0,184.722,1
0,0,151.389,1
0,1,231.526,1
0,0,274.755,0
0,1,350,1
NA,0,325,1
0,0,110,1
1,1,234.566,0
0,0,453.311,1
0,1,280,1
0,1,400,1
0,0,259.561,1
0,1,325,1
0,0,1000,1
0,1,285.526,1
0,0,762,1
NA,0,304.789,1
0,1,439,0
1,1,588.311,1
0,0,350,1
0,1,1933.333,1
0,1,360,1
0,1,303.667,1
0,0,311.445,0
0,1,300,1
1,1,417.083,1
1,1,250,1
0,1,346.841,1
0,0,434.45,0
0,0,126.521,1
0,1,614.646,0
0,0,575.875,1
0,1,1024,0
0,0,941.19,0
0,0,0,0
0,1,189.363,1
0,1,440,0
NA,0,561.049,1
0,0,164.646,0
0,1,277.895,1
1,0,556.856,1
0,0,350,1
0,1,292,1
0,1,665,1
0,1,105,1
0,0,0,0
0,1,199.278,1
0,0,182.667,1
0,0,415.545,0
0,1,237.027,1
0,1,823,0
NA,0,390,1
NA,0,397.75,1
0,1,320,1
NA,1,595.667,0
0,1,666.667,1
1,0,464.375,1
1,0,761.93,1
NA,0,386.747,1
1,0,691.6,1
NA,0,778.575,1
0,1,149.8,1
0,0,530,0
0,1,361.368,0
0,1,590,1
0,0,530,1
1,0,273.416,1
0,1,636.25,0
0,0,121.25,1
0,0,465.444,1
0,1,347.323,1
0,1,140.701,0
0,0,339.167,1
0,1,152.977,0
0,0,166.667,1
0,0,337.5,1
0,1,220,1
1,0,294.792,1
0,0,5953.439,1
0,1,156.25,1
0,0,145.556,1
0,0,196.8,1
0,1,206.667,1
0,0,439.336,1
0,1,224.822,1
0,0,323.243,1
0,0,294.861,1
NA,1,324.421,1
NA,0,261.24,1
0,1,541.5,1
0,0,500,1
0,1,194.08,0
0,1,275,0
0,0,242.743,1
0,1,217.742,0
0,0,174.131,1
0,1,328,0
0,1,263.133,0
0,0,458.323,0
0,0,201.822,1
0,0,60,0
0,1,694.112,0
0,1,258.842,0
0,1,429.537,1
0,0,402.5,0
0,0,248.333,1
0,1,261.948,0
NA,1,594.639,1
0,1,1100,0
0,0,0,0
1,0,296.71,1
0,1,136.436,0
0,0,433.4,1
NA,1,379,0
0,1,204.646,1
0,1,157.662,1
0,1,708.75,0
0,1,580,0
0,0,187.215,0
0,1,158.703,1
0,0,364.331,1
1,0,401.167,1
0,0,198.914,1
0,1,257.952,0
0,1,93.333,0
NA,0,805.556,1
0,1,200.535,0
1,0,388.056,1
0,1,75,1
0,1,295,1
0,1,230,0
0,0,160,1
0,0,125.714,1
0,1,182.022,0
0,0,168.085,1
0,0,214.887,1
0,0,140,1
0,0,699.546,0
1,0,282.292,1
0,0,283.465,1
0,1,466.633,1
0,1,160.141,1
0,1,359.568,1
0,1,221.667,0
1,0,659.268,1
0,1,217.5,1
0,0,256.417,1
0,0,281.467,1
0,0,150.5,1
0,0,152.433,1
0,1,155,1
0,0,240,1
0,0,116.638,1
0,0,318.341,1
0,0,511.389,1
0,0,163.125,1
0,1,143.333,1
0,0,275,1
0,0,427.828,1
NA,1,200,0
0,1,331.477,0
NA,0,432.5,0
0,1,314.5,0
NA,0,491.313,0
0,1,143.263,0
1,1,628.929,0
1,0,204.999,1
0,1,158.453,1
1,0,3158.333,1
0,1,430,1
1,0,1560.834,1
0,1,225.163,1
NA,0,641.914,1
0,0,126.5,1
NA,0,502.917,1
0,0,450,1
1,0,304.623,1
0,1,130.34,1
1,0,370,1
0,0,265,1
1,0,886.053,0
0,1,157.118,1
0,0,908.573,1
1,0,297.221,1
1,0,932.5,1
0,1,229.333,1
0,1,223.84,1
0,1,349.578,0
1,0,4516.667,1
0,1,331.323,0
0,1,317,0
0,1,233.333,1
1,0,498,1
0,1,1502.5,1
0,1,240.58,1
0,1,235.409,1
0,1,280.767,0
1,1,921.157,1
0,0,957.368,1
0,1,232.331,1
0,0,405.045,1
1,0,191.854,0
0,0,253,1
0,1,660,0
0,0,242.575,1
0,1,98.264,0
0,0,485,0
0,0,323.717,1
NA,0,153.834,1
0,1,156.855,1
0,0,430,0
0,0,769.778,1
0,0,444.292,1
0,0,345.64,1
1,1,650.671,1
0,1,567.375,0
0,1,309.167,1
0,1,120,1
0,0,160,1
0,0,390.799,1
0,1,283.333,1
0,0,270,1
1,0,583.958,1
0,0,132.667,0
0,1,158.542,1
0,1,224.466,1
0,0,1808.157,1
1,0,464.167,1
0,0,240,0
1,0,539.056,1
0,1,362.496,0
0,0,234.324,1
0,1,117.385,1
0,0,131.429,1
0,0,305.211,1
0,0,246.013,1
NA,0,970.625,1
0,0,444.626,1
0,1,223.205,1
0,1,285,1
0,1,1234.823,1
0,0,180,1
0,0,337.333,1
0,0,9.722,0
0,1,496.333,1
0,1,313.005,1
1,1,906.667,1
0,0,188.259,1
NA,1,450,0
0,0,301.667,1
0,0,270,1
0,1,221.25,0
0,0,150,1
1,0,361.053,1
0,1,233.333,1
0,0,115.07,0
0,1,314.362,0
0,0,168.406,1
0,0,510.436,1
0,0,371.889,1
0,1,67.334,1
1,0,1313,1
0,1,450,0
0,1,450,1
0,0,200,1
0,1,325,1
0,1,913,0
0,0,157.466,0
0,0,308.745,0
0,1,450,1
0,1,275,1
0,1,484.167,1
NA,1,437.466,0
0,0,472.69,1
0,0,475,1
0,0,351.2,1
0,1,236.386,1
0,1,283.333,1
0,1,800,0
0,0,360,0
1,1,666.667,1
0,0,455.818,1
0,1,383.546,1
0,0,274.588,1
0,1,186.458,1
1,0,358.125,1
0,0,108.333,1
1,1,370,1
0,0,164,1
0,0,562.5,1
NA,0,150,1
0,0,413.333,1
0,1,165.11,1
0,0,126.631,0
0,0,365,1
0,0,460,1
0,0,219.873,1
1,0,442.833,1
0,1,973,1
0,1,193.727,1
0,0,310.705,0
0,0,221.549,1
0,0,676,1
0,0,292.5,1
0,0,242.889,1
0,1,542.593,1
1,1,256.282,1
0,1,471.235,1
0,1,540.334,1
0,1,211.042,1
0,0,328.662,1
0,0,283.733,1
1,0,255,1
0,0,222.761,1
0,1,143.333,1
0,1,505,1
0,0,350,1
0,0,175,1
0,0,303.834,1
0,0,164.742,1
0,1,266.874,1
0,1,850,1
0,0,245,1
0,0,182.816,0
0,0,87.5,1
0,1,281.091,1
0,1,184.506,1
0,1,56.228,1
0,1,173.162,1
0,1,276,1
0,0,319.561,0
0,0,178.907,1
0,1,185.4,1
0,0,96.311,1
0,0,233.421,1
0,0,278,1
0,1,476.667,1
0,1,250,1
NA,0,55,0
0,1,400,1
0,0,219.971,1
1,1,626.572,1
0,0,393.228,1
0,0,378.333,1
0,0,288.375,1
0,0,155,1
0,0,390.084,1
0,0,140,1
0,0,302.084,1
0,1,188.389,1
1,0,390.768,1
0,0,290.327,1
0,0,100,1
0,0,76.555,1
0,0,221.529,0
0,0,399.459,1
0,1,501.736,1
0,0,717,1
0,1,355.824,1
1,1,632,0
0,0,1327.6,1
0,0,138.889,1
0,0,225,0
1,0,716.667,1
1,1,281.794,1
0,1,561.052,0
0,0,665.219,1
0,1,492.798,1
0,0,966.667,1
0,0,1200,1
1,0,700,1
NA,0,380.43,1
1,0,428.636,0
0,1,678.5,1
0,1,189.583,1
1,0,1061.667,1
0,0,956.833,1
0,1,504.5,1
1,0,1248.046,1
0,0,330,1
0,1,488.378,0
0,0,281.41,1
NA,1,744.979,1
0,1,264.43,1
NA,0,191.724,0
0,0,177.143,1
1,1,424.148,1
0,0,175.609,1
0,0,161.167,1
0,0,455.525,1
NA,0,123.667,1
0,1,455.493,1
0,0,139.583,1
0,1,96.857,1
0,0,697.895,1
0,1,266.667,1
0,0,508.026,0
0,1,218.603,1
NA,0,320,1
0,0,786.111,1
1,0,492.823,1
0,0,229,1
0,0,339.479,1
0,0,670,1
0,0,175.008,1
0,1,190.802,0
0,1,272.974,0
1,0,712.334,1
0,0,525.526,1
1,0,304.856,1
0,1,91.25,0
1,0,108.096,1
NA,0,211.668,1
0,1,90.333,1
